time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2009-01-27T13:19:14.947Z,39.0593,-115.4367,8,3.5,ml,5,157.99,0.72,0.3537,nn,nn00273664,2018-06-13T20:08:53.616Z,"36 km WNW of Preston, Nevada",earthquake,,0,0.05,2,reviewed,nn,nn
2009-01-28T06:36:39.490Z,32.063,-115.7833333,5.787,3.54,ml,19,266,0.5866,0.26,ci,ci10373809,2016-03-09T13:18:09.555Z,"60km SSW of Progreso, B.C., MX",earthquake,1.01,31.61,0.225,99,reviewed,ci,ci
2009-01-28T11:19:09.470Z,35.163,-97.871,5,3.4,mblg,15,79.3,,1.14,us,usp000gt6w,2017-06-26T21:14:09.757Z,"0 km ENE of Amber, Oklahoma",earthquake,,,,,reviewed,us,us
2009-01-28T17:00:23.980Z,32.0911667,-115.861,6.457,3.09,ml,14,262,0.557,0.3,ci,ci10373905,2016-03-09T13:18:13.942Z,"60km SSW of Progreso, B.C., MX",earthquake,1.3,31.61,0.23,104,reviewed,ci,ci
2009-01-29T01:48:01.110Z,32.0776667,-115.7366667,5.787,3.43,ml,15,265,0.5701,0.3,ci,ci10373985,2016-03-09T08:50:06.145Z,"56km WSW of Alberto Oviedo Mota, B.C., MX",earthquake,1.67,31.61,0.195,63,reviewed,ci,ci
2009-01-29T08:41:59.120Z,32.6931667,-118.2265,9.693,4.19,ml,13,238,0.3931,0.58,ci,ci10374021,2020-05-02T02:02:25.375Z,"18km SE of San Clemente Is. (SE tip), CA",earthquake,2.06,31.61,0.157,368,reviewed,ci,ci
2009-01-29T19:20:02.440Z,32.7301667,-118.2258333,9.693,3.06,ml,9,227,0.3675,0.23,ci,ci10374081,2016-03-08T19:44:43.770Z,"15km SE of San Clemente Is. (SE tip), CA",earthquake,1.47,31.61,0.138,137,reviewed,ci,ci
2009-01-30T13:25:03.760Z,47.7865,-122.5846667,62.24,4.67,ml,77,27,0.0526,0.52,uw,uw10763723,2017-04-04T16:48:38.483Z,"6 km ESE of Lofall, Washington",earthquake,0.83,0.99,0.188,144,reviewed,uw,uw
2009-01-31T08:22:29.024Z,39.9242,-117.8555,0,3.2,ml,3,153.49,0.404,0.0502,nn,nn00274258,2018-06-13T20:09:03.621Z,"59 km ESE of Lovelock, Nevada",earthquake,,0,0,1,reviewed,nn,nn
2009-01-31T10:06:59.750Z,37.5298333,-118.8225,5.425,3.19,md,48,60,0.06036,0.06,nc,nc40231074,2017-01-19T21:28:01.260Z,"10 km WSW of Aspen Springs, California",earthquake,0.21,0.51,0.124,73,reviewed,nc,nc
2009-01-31T13:43:37.730Z,42.3388333,-111.1813333,6.73,3.11,ml,24,50,0.3313,0.26,uu,uu50378310,2018-08-28T23:57:40.390Z,"9 km E of Montpelier, Idaho",earthquake,0.46,3.86,,10,reviewed,uu,uu
2009-01-31T21:09:22.590Z,35.4135,-117.7858333,7.42,4.39,ml,56,35,0.1073,0.19,ci,ci14418600,2020-05-02T02:02:47.434Z,"14km WNW of Johannesburg, CA",earthquake,0.23,1.3,0.167,388,reviewed,ci,ci
2009-02-03T10:23:10.010Z,34.589,-96.34,5,3.1,mblg,16,77.8,,1.27,us,usp000gtdu,2017-06-26T21:13:46.381Z,"2 km SSE of Centrahoma, Oklahoma",earthquake,,,,,reviewed,us,us
2009-02-03T23:27:10.330Z,36.992,-104.884,5,3,mblg,17,79.1,,1.22,us,usp000gtej,2014-11-07T01:38:19.972Z,"15 km SSW of Weston, Colorado",earthquake,,,,,reviewed,us,us
2009-02-04T17:14:21.540Z,40.3703333,-124.9988333,9.407,3.25,ml,63,235,0.5153,0.23,nc,nc40231327,2017-01-19T21:58:02.020Z,"66 km WSW of Ferndale, California",earthquake,0.97,31.61,0.24,10,reviewed,nc,nc
2009-02-06T00:20:28.960Z,36.693,-121.3223333,4.541,3.7,mw,81,41,0.04775,0.08,nc,nc40231391,2017-03-17T20:17:41.836Z,"10 km S of Tres Pinos, California",earthquake,0.11,0.35,,5,reviewed,nc,nc
2009-02-07T13:58:33.680Z,36.688,-121.3171667,4.701,3.14,ml,75,48,0.04144,0.07,nc,nc40231480,2017-01-19T22:17:24.820Z,"11 km S of Tres Pinos, California",earthquake,0.12,0.34,0.208,29,reviewed,nc,nc
2009-02-07T13:58:33.680Z,36.688,-121.317,5.2,3.1,ml,7,192.9,,,us,usp000gtha,2014-11-07T01:38:20.860Z,"11 km S of Tres Pinos, California",earthquake,,,,,reviewed,nc,nc
2009-02-08T13:57:32.730Z,36.0216667,-117.7783333,0.362,3.07,ml,36,41,0.0102,0.21,ci,ci14419896,2016-03-08T18:01:59.561Z,"15km NE of Little Lake, CA",earthquake,0.29,0.45,0.126,126,reviewed,ci,ci
2009-02-09T16:51:57.000Z,44.52,-115.98,11.6,3,ml,17,115.6,,,us,usp000gtkc,2016-07-13T22:42:01.740Z,"4 km E of Cascade, Idaho",earthquake,,,,,reviewed,but,but
2009-02-09T21:10:42.890Z,32.5926667,-115.5973333,16.248,3.82,ml,36,202,0.1227,0.41,ci,ci14420052,2016-03-08T22:52:45.725Z,"2km NW of Progreso, B.C., MX",earthquake,1.1,1.74,0.212,271,reviewed,ci,ci
2009-02-09T21:53:58.680Z,32.6025,-115.5976667,14.558,3.75,ml,37,184,0.1182,0.36,ci,ci14420076,2016-03-08T21:25:08.753Z,"3km NNW of Progreso, B.C., MX",earthquake,0.91,0.94,0.191,250,reviewed,ci,ci
2009-02-14T23:17:03.000Z,45.53,-111.89,11.9,3.3,ml,43,30.4,,,us,usp000gtz6,2015-01-30T22:41:15.244Z,"14 km S of Pony, Montana",earthquake,,,,,reviewed,but,but
2009-02-15T22:05:20.370Z,36.8615,-121.5978333,6.56,3.29,ml,83,54,0.02342,0.09,nc,nc40231861,2017-01-19T22:59:13.710Z,"5 km SE of Aromas, California",earthquake,0.14,0.27,0.209,63,reviewed,nc,nc
2009-02-16T01:03:38.980Z,35.3041667,-119.4318333,14.045,3.89,ml,43,80,0.06137,0.43,ci,ci14421592,2016-03-09T08:50:52.637Z,"11km SSE of Buttonwillow, CA",earthquake,0.53,1.02,0.163,251,reviewed,ci,ci
2009-02-18T03:12:32.772Z,41.2149,-114.8833,9.5,3.8,ml,8,160.05,0.04,0.2556,nn,nn00276270,2018-06-13T20:09:43.307Z,"13 km NNE of Wells, Nevada",earthquake,,1.7,0.18,3,reviewed,nn,nn
2009-02-19T16:24:38.650Z,32.2848333,-115.2945,29.256,3.45,ml,23,233,0.5152,0.26,ci,ci14422816,2016-03-09T10:14:38.481Z,"12km SW of Delta, B.C., MX",earthquake,1.66,0.66,0.183,150,reviewed,ci,ci
2009-02-20T10:29:27.610Z,38.8103333,-122.8096667,1.433,3.7,mw,75,22,0.01171,0.08,nc,nc40231987,2017-03-17T20:18:31.321Z,"7 km W of Cobb, California",earthquake,0.1,0.16,,4,reviewed,nc,nc
2009-02-20T12:19:14.660Z,35.9825,-117.3053333,0.718,3.68,ml,32,53,0.09309,0.24,ci,ci10377693,2016-03-09T00:18:40.142Z,"25km NNE of Trona, CA",earthquake,0.39,0.69,0.119,350,reviewed,ci,ci
2009-02-21T15:27:06.910Z,36.4286667,-120.9543333,7.578,3.2,mw,87,60,0.1135,0.1,nc,nc40232076,2017-01-19T23:30:56.170Z,"28 km NNE of King City, California",earthquake,0.17,0.54,,3,reviewed,nc,nc
2009-02-21T19:01:02.540Z,37.6261667,-121.95,11.551,3.2,ml,172,13,0.01892,0.22,nc,nc40232081,2017-01-19T23:31:34.750Z,"6 km WNW of Sunol, California",earthquake,0.16,0.36,0.196,128,reviewed,nc,nc
2009-02-22T09:43:06.750Z,36.369,-98.087,5,3.2,mblg,25,79.2,,1.28,us,usp000gu9h,2017-06-26T21:13:34.907Z,"2 km S of Lahoma, Oklahoma",earthquake,,,,,reviewed,us,us
2009-02-22T18:13:46.320Z,34.7023333,-121.3556667,2.645,3.43,ml,86,247,0.636,0.29,nc,nc40232134,2017-01-19T23:37:24.270Z,"76 km W of Vandenberg Air Force Base, California",earthquake,0.72,1.19,0.263,12,reviewed,nc,nc
2009-02-22T19:16:35.000Z,39.0075,-123.665,5.266,3.08,ml,41,225,0.1036,0.12,nc,nc40232137,2017-01-19T23:37:47.040Z,"4 km NNE of Manchester, California",earthquake,0.33,0.37,0.202,17,reviewed,nc,nc
2009-02-24T06:07:27.950Z,32.1323333,-115.7511667,5.787,3.18,ml,21,260,0.5159,0.24,ci,ci10378473,2016-03-08T19:46:10.467Z,"52km SSW of Progreso, B.C., MX",earthquake,1.39,31.61,0.19,115,reviewed,ci,ci
2009-02-24T07:10:30.600Z,30.104,-114.348,4,4.6,mb,113,110.4,,,us,usp000gube,2015-03-24T00:58:38.295Z,"112 km SSE of San Felipe, Mexico",earthquake,,,,35,reviewed,ecx,us
2009-02-24T07:17:37.280Z,30.012,-114.222,10,4,mb,21,197.7,,1.34,us,usp000gubf,2014-11-07T01:38:26.657Z,"126 km SSE of San Felipe, Mexico",earthquake,,,,7,reviewed,us,us
2009-02-25T04:14:15.330Z,34.735,-96.036,5,3.3,mblg,12,78.6,,1.39,us,usp000gucq,2017-06-26T21:13:23.792Z,"4 km SE of Ashland, Oklahoma",earthquake,,,,,reviewed,us,us
2009-02-26T09:52:47.540Z,42.5413333,-123.896,36.796,4.24,md,34,99,0.3808,0.32,uw,uw10762533,2020-05-06T09:22:19.197Z,"37 km NW of Selma, Oregon",earthquake,0.67,0.69,0.202,27,reviewed,uw,uw
2009-02-26T16:08:55.600Z,36.8626667,-121.5996667,6.577,3.24,ml,82,55,0.02252,0.09,nc,nc40232336,2017-01-19T23:56:39.640Z,"4 km SE of Aromas, California",earthquake,0.14,0.27,0.098,13,reviewed,nc,nc
2009-03-05T23:06:25.900Z,38.8311667,-122.7848333,0.474,3.34,mw,69,39,0.008108,0.06,nc,nc40232728,2017-01-20T00:36:52.820Z,"5 km W of Cobb, California",earthquake,0.09,0.17,,4,reviewed,nc,nc
2009-03-06T11:29:54.500Z,45.703,-112.128,11.7,4,mb,83,24.8,,,us,usp000gups,2015-03-24T01:47:57.755Z,"18 km S of Whitehall, Montana",earthquake,,,,1,reviewed,but,us
2009-03-06T11:33:05.000Z,45.698,-112.128,9.7,3.4,ml,6,86.7,,,us,usp000gupt,2015-01-30T05:09:19.399Z,"18 km WNW of Pony, Montana",earthquake,,,,,reviewed,but,but
2009-03-07T02:45:10.410Z,41.6685,-109.9198333,0.78,3.51,ml,13,62,0.2653,0.21,uu,uu50379315,2018-08-28T23:59:45.200Z,"9 km NNE of Granger, Wyoming",earthquake,0.54,13.57,,12,reviewed,uu,uu
2009-03-08T08:16:04.600Z,46.597,-66.311,5,3.6,mblg,76,69.3,,,us,usp000gurf,2014-11-07T01:38:33.287Z,"72 km NNE of Noonan, Canada",earthquake,,,,,reviewed,ott,wes
2009-03-08T13:06:39.940Z,35.446,-97.456,5,3.4,mblg,18,97.7,,0.59,us,usp000gurq,2017-06-26T21:13:12.217Z,"0 km SSE of Smith Village, Oklahoma",earthquake,,,,,reviewed,us,us
2009-03-08T13:30:10.210Z,46.584,-66.249,5,3.3,mblg,15,115.1,,,us,usp000gurr,2015-03-24T02:19:45.524Z,"71 km NNE of Noonan, Canada",earthquake,,,,,reviewed,ott,ott
2009-03-08T14:47:19.540Z,37.4743333,-121.8045,9.419,3.5,mw,162,29,0.02432,0.13,nc,nc40232887,2017-03-17T20:19:05.367Z,"10 km ENE of Milpitas, California",earthquake,0.11,0.29,,4,reviewed,nc,nc
2009-03-09T03:07:52.690Z,36.401,-120.9335,6.841,3.5,mw,88,63,0.07297,0.12,nc,nc40232913,2017-03-17T20:19:54.082Z,"27 km NE of King City, California",earthquake,0.17,0.47,,5,reviewed,nc,nc
2009-03-09T03:15:23.800Z,36.4026667,-120.9366667,6.601,3.16,ml,82,84,0.07027,0.11,nc,nc40232914,2017-01-20T00:57:56.060Z,"27 km NE of King City, California",earthquake,0.18,0.5,0.207,21,reviewed,nc,nc
2009-03-09T03:20:24.230Z,38.8228333,-111.7158333,1.93,3.03,ml,29,41,0.2323,0.22,uu,uu50379355,2019-06-28T18:48:29.283Z,"19 km SE of Salina, Utah",earthquake,0.51,14.12,,11,reviewed,uu,uu
2009-03-09T15:27:03.930Z,32.3305,-115.2398333,5.987,3.16,ml,16,272,0.4608,0.42,ci,ci10380449,2016-03-09T08:51:55.222Z,"5km WSW of Delta, B.C., MX",earthquake,2.39,31.61,0.188,25,reviewed,ci,ci
2009-03-10T13:41:28.070Z,33.9676667,-117.7621667,11.792,3.01,ml,96,17,0.07467,0.28,ci,ci10380553,2016-03-09T15:10:30.745Z,"3km S of Chino Hills, CA",earthquake,0.24,0.66,0.199,317,reviewed,ci,ci
2009-03-12T13:59:43.140Z,36.119,-120.1823333,8.905,3.28,ml,74,111,0.08288,0.11,nc,nc51218152,2017-01-20T01:20:49.120Z,"11 km SW of Huron, California",earthquake,0.18,0.33,0.144,11,reviewed,nc,nc
2009-03-12T17:11:56.270Z,31.7623333,-116.5455,-0.139,3.46,ml,17,295,0.9038,0.18,ci,ci10380929,2016-03-08T18:04:08.605Z,"6km NNE of Maneadero, B.C., MX",earthquake,3.82,6.74,0.149,152,reviewed,ci,ci
2009-03-12T21:30:14.940Z,37.2513333,-121.6356667,5.286,3.13,ml,111,59,0.03063,0.07,nc,nc51218175,2017-01-20T01:23:14.640Z,"13 km N of Morgan Hill, California",earthquake,0.09,0.23,0.194,110,reviewed,nc,nc
2009-03-13T03:42:22.160Z,34.0163333,-117.1973333,14.704,3.01,ml,95,32,0.07307,0.2,ci,ci14429152,2016-03-09T05:59:13.005Z,"5km SSW of Redlands, CA",earthquake,0.18,0.27,0.17,338,reviewed,ci,ci
2009-03-13T18:57:16.270Z,35.9863333,-117.3063333,0.688,3.21,ml,36,71,0.097,0.25,ci,ci14429360,2017-06-19T18:06:59.740Z,"26km NNE of Trona, CA",earthquake,0.46,0.71,0.111,202,reviewed,ci,ci
2009-03-14T03:58:39.000Z,45.7,-112.12,11.3,3.2,ml,52,26,,,us,usp000guzc,2014-11-07T01:38:34.922Z,"18 km WNW of Pony, Montana",earthquake,,,,,reviewed,but,but
2009-03-15T05:23:31.280Z,36.343,-120.3491667,4.154,3.5,mw,77,95,0.09369,0.15,nc,nc51218275,2017-03-17T21:03:34.704Z,"17 km S of Cantua Creek, California",earthquake,0.26,0.54,,5,reviewed,nc,nc
2009-03-17T22:40:33.380Z,30.4445,-117.0203333,5.842,3.08,ml,20,334,2.388,4.29,ci,ci14430816,2016-03-08T21:26:58.263Z,"148km SSW of Maneadero, B.C., MX",earthquake,39.43,31.61,0.084,33,reviewed,ci,ci
2009-03-18T02:26:06.900Z,37.4575,-121.7698333,7.5,3.11,ml,147,28,0.02523,0.13,nc,nc40233339,2017-01-20T01:54:57.570Z,"9 km NNE of East Foothills, California",earthquake,0.11,0.37,0.241,118,reviewed,nc,nc
2009-03-18T11:04:39.120Z,40.5448333,-124.4318333,13.54,3.8,mw,75,221,0.4099,0.1,nc,nc40233362,2017-03-17T20:20:30.323Z,"14 km WSW of Ferndale, California",earthquake,0.47,0.95,,7,reviewed,nc,nc
2009-03-18T23:32:06.826Z,38.5275,-118.1688,6.3,3.1,ml,17,71.67,0.094,0.1342,nn,nn00278960,2018-06-13T20:10:47.047Z,"16 km NNW of Mina, Nevada",earthquake,,3.1,0.32,2,reviewed,nn,nn
2009-03-20T04:42:36.990Z,46.3285,-122.3035,13.939,3.1,md,60,40,,0.21,uw,uw10764738,2016-09-01T18:41:56.851Z,"25 km S of Morton, Washington",earthquake,0.372,0.41,0.04,19,reviewed,uw,uw
2009-03-20T22:44:50.720Z,45.1351667,-120.959,13.958,3,md,41,78,0.154,0.3,uw,uw10765518,2016-09-01T18:41:57.576Z,"10 km ESE of Maupin, Oregon",earthquake,0.494,1.64,0.05,10,reviewed,uw,uw
2009-03-21T08:47:50.710Z,43.322,-110.718,5,3.4,mwr,41,93.1,,1.35,us,usp000gv8f,2015-03-24T01:57:13.676Z,"6 km NE of Hoback, Wyoming",earthquake,,,,,reviewed,us,us
2009-03-21T11:24:46.040Z,33.2521667,-116.4385,2.403,3.3,ml,72,25,0.02399,0.3,ci,ci14432280,2016-03-09T05:59:51.612Z,"6km W of Borrego Springs, CA",earthquake,0.26,0.49,0.147,292,reviewed,ci,ci
2009-03-21T20:12:18.960Z,33.3135,-115.7295,4.763,3.07,ml,71,35,0.03914,0.25,ci,ci14432456,2016-03-09T15:11:33.138Z,"4km S of Bombay Beach, CA",earthquake,0.23,0.42,0.139,198,reviewed,ci,ci
2009-03-21T20:17:03.260Z,33.3155,-115.7323333,4.753,3.33,ml,71,36,0.03703,0.24,ci,ci14432496,2016-03-09T17:05:56.843Z,"4km S of Bombay Beach, CA",earthquake,0.25,0.41,0.126,307,reviewed,ci,ci
2009-03-21T20:40:06.200Z,33.3128333,-115.7335,4.713,3.11,ml,70,34,0.03968,0.22,ci,ci14432576,2016-03-09T01:46:04.936Z,"4km S of Bombay Beach, CA",earthquake,0.23,0.42,0.138,277,reviewed,ci,ci
